source_id,source_name,country,title,url,price_eur,year,category,size,weight_range,condition,date_listed,date_found
paragliding_bazar_cz_b,Paragliding Bazar CZ – EN B,CZ,Křídlo EN B BGD Base 2 M 75-95kg Listovaný Nové Žádné SIV Nelétáno na písku Nevětveno Nekoupáno TK platná Křídlo EN B BG,https://paragliding-bazar.cz/cs/offering/bgd-base-2-m-75-95kg-concertinas-new-no-sivs-no-flying-o-6441/,,2025.0,EN B,M,,Jako nové (0-50h),,2026-04-28
paragliding_bazar_cz_b,Paragliding Bazar CZ – EN B,CZ,Křídlo EN B Advance Iota DLS 25 80-100kg Listovaný Odlehčeno Žádné SIV Nevětveno Nekoupáno TK platná Křídlo EN B Advance,https://paragliding-bazar.cz/cs/offering/advance-iota-dls-25-80-100kg-concertinas-lightened-no-si-6416/,,2023.0,EN B,25,,Létané (100-200h),,2026-04-28
paragliding_bazar_cz_b,Paragliding Bazar CZ – EN B,CZ,Křídlo EN B MAC Illusion 28 Žádné SIV TK čerstvá TK platná S batohem Křídlo EN B MAC Illusion 28 Žádné SIV TK čerstvá TK,https://paragliding-bazar.cz/cs/offering/mac-illusion-28-no-sivs-tc-fresh-tc-valid-with-bag-6411/,2200.0,2023.0,EN B,28,,Mírně létané (50-100h),,2026-04-28
paragliding_bazar_cz_b,Paragliding Bazar CZ – EN B,CZ,Křídlo EN B Nova Mentor 6 L 110-130kg Listovaný Žádné SIV Nelétáno na písku Nevětveno Nekoupáno Křídlo EN B Nova Mentor,https://paragliding-bazar.cz/cs/offering/nova-mentor-6-l-110-130kg-concertinas-no-sivs-no-flying--6408/,1100.0,2019.0,EN B,L,,Létané (100-200h),,2026-04-28
paragliding_bazar_cz_b,Paragliding Bazar CZ – EN B,CZ,Křídlo EN B SKY SKy Apollo 3 95-119kg Nekoupáno Listovaný S listovacím obalem TK platná Žádné SIV Nevětveno Křídlo EN B,https://paragliding-bazar.cz/cs/offering/sky-sky-apollo-3-95-119kg-no-water-concertinas-with-list-6385/,2500.0,2024.0,EN B,,,Jako nové (0-50h),,2026-04-28
paragliding_bazar_cz_b,Paragliding Bazar CZ – EN B,CZ,Křídlo EN B AXIS pluto 2 m Pluto 2 M 80-105kg Listovaný Nelétáno na písku TK platná S batohem Křídlo EN B AXIS pluto 2 m,https://paragliding-bazar.cz/cs/offering/axis-pluto-2-m-pluto-2-m-80-105kg-concertinas-no-flying--6353/,,2007.0,EN B,Pluto,,Mírně létané (50-100h),,2026-04-28
paragliding_bazar_cz_a,Paragliding Bazar CZ – EN A,CZ,Křídlo EN A Advance Alpha 7 26 70-95kg Listovaný Žádné SIV Nelétáno na písku Nevětveno Nekoupáno TK čerstvá (Součást kom,https://paragliding-bazar.cz/cs/offering/advance-alpha-7-26-70-95kg-concertinas-no-sivs-no-flying-6749/,2300.0,2024.0,EN A,26,,Jako nové (0-50h),,2026-04-28
paragliding_bazar_cz_a,Paragliding Bazar CZ – EN A,CZ,Křídlo EN A Gradient Golden 5 26 85-105kg Listovaný Žádné SIV Nelétáno na písku Nevětveno Nekoupáno (Součást kompletu) K,https://paragliding-bazar.cz/cs/offering/gradient-golden-5-26-85-105kg-concertinas-no-sivs-no-fly-6740/,,2019.0,EN A,26,,Mírně létané (50-100h),,2026-04-28
paragliding_bazar_cz_a,Paragliding Bazar CZ – EN A,CZ,Křídlo EN A Gradient Orbit 2 80-100kg Žádné SIV TK platná S batohem Křídlo EN A Gradient Orbit 2 80-100kg Žádné SIV TK p,https://paragliding-bazar.cz/cs/offering/gradient-orbit-2-80-100kg-no-sivs-tc-valid-with-bag-6723/,,2009.0,EN A,,,Létané (100-200h),,2026-04-28
paragliding_bazar_cz_a,Paragliding Bazar CZ – EN A,CZ,Křídlo EN A Advance Pi2 27 105-120kg Listovaný Odlehčeno Žádné SIV Nekoupáno Drobné opravy TK čerstvá Křídlo EN A Advanc,https://paragliding-bazar.cz/cs/offering/advance-pi2-27-105-120kg-concertinas-lightened-no-sivs-n-6712/,,2020.0,EN A,27,,Létané (100-200h),,2026-04-28
